#------------------------------------------------------------#
# EXAMPLE DATA
# When loading with CSV.jl, provide the `comment="#"` option.
#
# System size                  L = 20:10:60
# Time between samples in MCS  tau = 10 
# Number of samples            N = 50_000
#------------------------------------------------------------#
L,T,e,e2,m,m2,m4,absem
30,2.202020202020202,-1389.98648,1.9381723856e6,-0.3889145333333333,0.6242110399012345,0.40787317357323183,0.7837409333333334
40,2.202020202020202,-2471.10048,6.11722670912e6,-0.7843096249999999,0.62093412640625,0.39704977339378833,0.784350225
50,2.202020202020202,-3857.7912,1.489968496128e7,-0.7818628159999998,0.6158049898496,0.38790361683751645,0.7818795839999999
60,2.202020202020202,-5558.47304,3.09216464976e7,-0.7830913777777777,0.6160567685925925,0.38577142508870993,0.7830913777777777
20,2.207070707070707,-615.89328,381971.34528,-0.07293479999999995,0.631401124,0.42823453810675,0.7832484
30,2.207070707070707,-1383.55352,1.92046690208e6,0.13637257777777778,0.6163122023703703,0.39920230240865473,0.7779257333333335
40,2.207070707070707,-2461.01488,6.06769843328e6,-0.7789092250000001,0.6128928069687499,0.3879275852008797,0.7789092250000001
50,2.207070707070707,-3840.25152,1.476610119552e7,-0.6647179360000001,0.6031790708096,0.3755321431514107,0.7717278559999999
60,2.207070707070707,-5532.71,3.063596390304e7,-0.7761433,0.6055528994135803,0.37340043213646174,0.7761433
20,2.212121212121212,-612.14224,377481.70816,-0.19176079999999998,0.619331124,0.41527960310279993,0.7743708
30,2.212121212121212,-1377.32536,1.90344996128e6,-0.12896653333333333,0.6063147135802469,0.388442395045344,0.7705693777777777
40,2.212121212121212,-2444.1992,5.98592799616e6,-0.5090296249999999,0.59434130721875,0.3685136481745767,0.7651727249999999
50,2.212121212121212,-3822.7644,1.463195705824e7,-0.7673623199999999,0.5950601292672,0.3648734780308844,0.7674368159999999
60,2.212121212121212,-5502.90896,3.03083304832e7,-0.7676589888888888,0.592825513808642,0.3588263421290355,0.7676589888888888
20,2.217171717171717,-610.27056,375184.16256,0.05898520000000003,0.61518363,0.4099031818863,0.771907
30,2.217171717171717,-1369.7408,1.88290144128e6,-0.17884159999999996,0.5933656001975309,0.37468529180150145,0.7610785777777777
40,2.217171717171717,-2436.40672,5.9480912416e6,-0.463273075,0.5904239357812501,0.36389228384182365,0.762278275
50,2.217171717171717,-3797.772,1.444307344832e7,-0.7121568640000001,0.5754138288384,0.3452863134315208,0.7525984
60,2.217171717171717,-5483.20608,3.00919323712e7,-0.7639557555555555,0.5874174917901235,0.3526017128519958,0.7639557555555555
20,2.2222222222222223,-607.73424,372156.43904,-0.17337049999999996,0.6076836845,0.4018439058781625,0.7662601
30,2.2222222222222223,-1362.78224,1.86407194944e6,0.16970457777777778,0.5827600785185184,0.3638576545161847,0.7530518666666668
